# tipo: termico
# minutos: 30.0
# amplitud_grados: 20.0
# limite_C: 55
t_s,id,pos_ticks,temp_C,carga_pm,tension_V,corriente_A
1080.0,6,2046,38,-24,7.2,0.006
1090.0,1,2046,38,-24,7.4,0.000
1090.0,2,1839,50,152,7.3,0.078
1090.0,3,2283,49,72,7.3,0.019
1090.0,4,1825,38,40,7.3,0.006
1090.0,5,2049,38,0,7.2,0.000
1090.0,6,2046,37,-24,7.2,0.006
1100.0,1,2046,38,-24,7.3,0.000
1100.1,2,2284,50,80,7.3,0.019
1100.1,3,1846,49,208,7.2,0.143
1100.1,4,2274,38,0,7.2,0.000
1100.1,5,2049,38,0,7.2,0.000
1100.1,6,2046,38,-24,7.2,0.000
# fin: interrumpido
